"SCHOOL_YEAR","SYSTEM_ID","SYSTEM_NAME","SCHOOL_ID","SCHOOL_NAME","NEW_ELL_STUDENTS_COUNT"
"2011","660","Fulton County","0116","Main Street Charter Academy Elementary",1
"2011","660","Fulton County","0175","Jackson Elementary School",2
"2011","660","Fulton County","0180","Dolvin Elementary School",10
"2011","660","Fulton County","0181","College Park Elementary School",1
"2011","660","Fulton County","0184","Crabapple Middle School",4
"2011","660","Fulton County","0187","Barnwell Elementary School",3
"2011","660","Fulton County","0190","Lake Windward Elementary School",8
"2011","660","Fulton County","0191","Roswell High School",3
"2011","660","Fulton County","0192","Hapeville Elementary School",2
"2011","660","Fulton County","0193","Crabapple Crossing Elementary School",2
"2011","660","Fulton County","0195","New Prospect Elementary School",4
"2011","660","Fulton County","0197","Northwood Elementary School",3
"2011","660","Fulton County","0198","Centennial High School",5
"2011","660","Fulton County","0202","Hillside Elementary School",2
"2011","660","Fulton County","0203","Northview High School",2
"2011","660","Fulton County","0205","Alpharetta High School",3
"2011","660","Fulton County","0206","Oakley Elementary School",9
"2011","660","Fulton County","0207","Dunwoody Springs Charter School",7
"2011","660","Fulton County","0284","Holcomb Bridge Middle School",10
"2011","660","Fulton County","0286","Ridgeview Charter School",2
"2011","660","Fulton County","0290","Tubman Elementary School",3
"2011","660","Fulton County","0295","Findley Oaks Elementary School",2
"2011","660","Fulton County","0297","State Bridge Crossing Elementary School",1
"2011","660","Fulton County","0299","Manning Oaks Elementary School",2
"2011","660","Fulton County","0301","Heritage Elementary School",2
"2011","660","Fulton County","0302","Elkins Pointe Middle School",9
"2011","660","Fulton County","0303","Cogburn Woods Elementary School",4
"2011","660","Fulton County","0305","Autrey Mill Middle School",11
"2011","660","Fulton County","0373","Mountain Park Elementary School",1
"2011","660","Fulton County","0384","Haynes Bridge Middle School",1
"2011","660","Fulton County","0391","Bear Creek Middle School",2
"2011","660","Fulton County","0392","Chattahoochee High School",1
"2011","660","Fulton County","0397","River Eves Elementary School",5
"2011","660","Fulton County","0398","Shakerag Elementary School",4
"2011","660","Fulton County","0402","River Trail Middle School",11
"2011","660","Fulton County","0405","Wilson Creek Elementary School",18
"2011","660","Fulton County","0406","Amana Academy School",2
"2011","660","Fulton County","0491","Medlock Bridge Elementary School",6
"2011","660","Fulton County","0497","Webb Bridge Middle School",4
"2011","660","Fulton County","0591","Taylor Road Middle School",6
"2011","660","Fulton County","0603","Sandy Springs Middle School",7
"2011","660","Fulton County","0701","Ocee Elementary School",6
"2011","660","Fulton County","0702","Woodland Elementary School",8
"2011","660","Fulton County","0803","Paul D. West Middle School",1
"2011","660","Fulton County","0909","Lake Forest Elementary",4
"2011","660","Fulton County","0910","Johns Creek High School",2
"2011","660","Fulton County","1050","Alpharetta Elementary School",1
"2011","660","Fulton County","1064","Oak Knoll Elementary School",1
"2011","660","Fulton County","1067","Roswell North Elementary School",8
"2011","660","Fulton County","1310","Ison Springs Elementary School",6
"2011","660","Fulton County","2070","Campbell Elementary School",2
"2011","660","Fulton County","3056","Heards Ferry Elementary School",2
"2011","660","Fulton County","3066","Riverwood High School",3
"2011","660","Fulton County","4056","High Point Elementary School",2
"2011","660","Fulton County","4060","Mimosa Elementary School",11
"2011","660","Fulton County","4062","North Springs High School",2
"2011","660","Fulton County","4069","E. C. West Elementary School",2
"2011","660","Fulton County","5052","Conley Hills Elementary School",1
"2011","660","Fulton County","ALL","All Schools",271
"2011","661","Gilmer County","0296","Gilmer Middle School",1
"2011","661","Gilmer County","ALL","All Schools",1
"2011","663","Glynn County","0106","Sterling Elementary School",1
"2011","663","Glynn County","0114","Jane Macon Middle",4
"2011","663","Glynn County","0190","Golden Isles Elementary School",1
"2011","663","Glynn County","0199","Needwood Middle School",1
"2011","663","Glynn County","1052","Altama Elementary School",3
"2011","663","Glynn County","ALL","All Schools",10
"2011","664","Gordon County","0176","Tolbert Elementary School",1
"2011","664","Gordon County","0192","Sonoraville East Middle School",1
"2011","664","Gordon County","0292","Ashworth Middle School",1
"2011","664","Gordon County","ALL","All Schools",3
"2011","665","Grady County","0174","Washington Middle School",1
"2011","665","Grady County","1550","Northside Elementary School",1
"2011","665","Grady County","3050","Shiver Elementary School",1
"2011","665","Grady County","ALL","All Schools",3
"2011","667","Gwinnett County","0100","Rock Springs Elementary School",2
"2011","667","Gwinnett County","0105","Mill Creek High School",2
"2011","667","Gwinnett County","0108","Trickum Middle School",16
"2011","667","Gwinnett County","0109","Benefield Elementary School",7
"2011","667","Gwinnett County","0173","Centerville Elementary School",3
"2011","667","Gwinnett County","0180","Head Elementary School",1
"2011","667","Gwinnett County","0182","Brookwood High School",2
"2011","667","Gwinnett County","0184","Berkeley Lake Elementary School",8
"2011","667","Gwinnett County","0186","Pinckneyville Middle School",7
"2011","667","Gwinnett County","0187","Meadowcreek High School",2
"2011","667","Gwinnett County","0188","Richards Middle School",15
"2011","667","Gwinnett County","0190","Chattahoochee Elementary School",11
"2011","667","Gwinnett County","0191","Dacula Elementary School",3
"2011","667","Gwinnett County","0193","Walnut Grove Elementary School",4
"2011","667","Gwinnett County","0194","Craig Elementary School",1
"2011","667","Gwinnett County","0195","Collins Hill High School",2
"2011","667","Gwinnett County","0197","Creekland Middle School",14
"2011","667","Gwinnett County","0198","Alton C. Crews Middle School",4
"2011","667","Gwinnett County","0199","Meadowcreek Elementary School",4
"2011","667","Gwinnett County","0200","Freeman's Mill Elementary School",2
"2011","667","Gwinnett County","0204","Frank N. Osborne Middle School",4
"2011","667","Gwinnett County","0205","Corley Elementary School",9
"2011","667","Gwinnett County","0209","Lanier Middle School",7
"2011","667","Gwinnett County","0210","Lovin Elementary School",3
"2011","667","Gwinnett County","0275","Knight Elementary School",2
"2011","667","Gwinnett County","0276","Sweetwater Middle School",19
"2011","667","Gwinnett County","0279","Five Forks Middle School",6
"2011","667","Gwinnett County","0280","Beaver Ridge Elementary School",6
"2011","667","Gwinnett County","0282","Annistown Elementary School",1
"2011","667","Gwinnett County","0283","Shiloh Middle School",2
"2011","667","Gwinnett County","0285","Hopkins Elementary School",10
"2011","667","Gwinnett County","0286","Brookwood Elementary School",2
"2011","667","Gwinnett County","0287","Norton Elementary School",1
"2011","667","Gwinnett County","0288","Minor Elementary School",2
