"SysSchoolID","SchoolName","Graduation Rate All Students","Number Taken All Students","Approximate Class Size All Students","Graduation Rate Asian","Number Taken Asian","Approximate Class Size Asian","Graduation Rate Black","Number Taken Black","Approximate Class Size Black","Graduation Rate Hispanic","Number Taken Hispanic","Approximate Class Size Hispanic","Graduation Rate Native Amer/Alaskan Native","Number Taken Native Amer/Alaskan Native","Approximate Class Size Amer/Alaskan Native","Graduation Rate White","Number Taken White","Approximate Class Size White","Graduation Rate Multiracial","Number Taken Multiracial","Approximate Class Size Multiracial","Graduation Rate Male","Number Taken Male","Approximate Class Size Male","Graduation Rate Female","Number Taken Female","Approximate Class Size Female","Graduation Rate Students with Disabilities","Number Taken Students with Disabilities","Approximate Class Size Students with Disabilities","Graduation Rate Students without Disabilities","Number Taken Students without Disabilities","Approximate Class Size Students without Disabilities","Graduation Rate Limited English Proficient","Number Taken Limited English Proficient","Approximate Class Size Limited English Proficient","Graduation Rate Economically Disadvantaged","Number Taken Economically Disadvantaged","Approximate Class Size Economically Disadvantaged","Graduation Rate Not Economically Disadv","Number Taken Not Economically Disadv","Approximate Class Size Not Economically Disadv","Graduation Rate Migrant","Number Taken Migrant","Approximate Class Size Migrant"
"651:197","South Effingham High School","70.1","239","341","","","1","81","17","21","","","5","","","0","69.3","217","313","","","1","66.7","110","165","73.3","129","176","34.8","8","23","72.6","231","318","","","0","62.5","20","32","70.9","219","309","","","0"
"651:203","Ebenezer Middle School","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"651:290","Effingham County Middle School","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"651:296","Ebenezer Elementary School","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"651:297","South Effingham Middle School","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"651:3050","Marlow Elementary School","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"651:390","Effingham County High School","66.2","206","311","","","3","48.5","33","68","","","0","","","1","71","169","238","","","1","60.1","101","168","73.4","105","143","18.4","7","38","72.9","199","273","","","1","39.3","24","61","72.8","182","250","","","0"
"651:4050","Rincon Elementary School","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"651:ALL","Effingham County","68.3","445","652","","","4","56.2","50","89","","","5","","","1","70.1","386","551","","","2","63.4","211","333","73.4","234","319","24.6","15","61","72.8","430","591","","","1","47.3","44","93","71.7","401","559","","","0"
"652:100","Doves Creek Elementary School","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"652:104"," Elbert County Middle School                  ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"652:1050","Beaverdam Elementary School","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"652:1052","Falling Creek Elementary School","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"652:176","Elbert County High School","54.6","155","284","","","1","33.9","38","112","","","5","","","0","67.3","109","162","","","4","54.8","69","126","54.4","86","158","32","8","25","56.8","147","259","","","4","32.7","32","98","66.1","123","186","","","1"
"652:177","Blackwell Elementary School","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"652:3050","Bowman Elementary School","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"652:ALL","Elbert County","54.6","155","284","","","1","33.9","38","112","","","5","","","0","67.3","109","162","","","4","54.8","69","126","54.4","86","158","32","8","25","56.8","147","259","","","4","32.7","32","98","66.1","123","186","","","1"
"653:100","Twin City Elementary School","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"653:1050","Adrian School of Performing Arts","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"653:189","Swainsboro High School","45","116","258","","","2","36.4","43","118","","","1","","","2","51.9","70","135","","","0","42.7","53","124","47","63","134","27.9","19","68","51.1","97","190","","","2","48","61","127","42","55","131","","","1"
"653:192","Swainsboro Middle School","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"653:196","Swainsboro Primary School","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"653:198","Swainsboro Elementary School","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"653:2050","Emanuel County Institute","50","37","74","","","0","45.7","16","35","","","0","","","0","53.8","21","39","","","0","40","14","35","59","23","39","7.7","1","13","59","36","61","","","0","50","23","46","50","14","28","","","0"
"653:ALL","Emanuel County","46.1","153","332","","","2","38.6","59","153","","","1","","","2","52.3","91","174","","","0","42.1","67","159","49.7","86","173","24.7","20","81","53","133","251","","","2","48.6","84","173","43.4","69","159","","","1"
"654:196","Claxton Elementary School","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"654:2050","Claxton High School","57.5","73","127","","","1","43.1","25","58","","","5","","","0","69.8","44","63","","","0","49.2","32","65","66.1","41","62","0","0","19","67.6","73","108","","","2","47.3","35","74","71.7","38","53","","","4"
"654:3050","Claxton Middle School","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"654:ALL","Evans County","57.5","73","127","","","1","43.1","25","58","","","5","","","0","69.8","44","63","","","0","49.2","32","65","66.1","41","62","0","0","19","67.6","73","108","","","2","47.3","35","74","71.7","38","53","","","4"
"655:1050","Blue Ridge Elementary School","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"655:176","Fannin County High School","65","143","220","","","1","","","1","","","0","","","1","65.4","142","217","","","0","62.7","74","118","67.6","69","102","27.3","6","22","69.2","137","198","","","0","53.2","33","62","69.6","110","158","","","0"
"655:193","Fannin County Middle School","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"655:194","East Fannin Elementary School","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"655:293","West Fannin Elementary School","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"655:ALL","Fannin County","65","143","220","","","1","","","1","","","0","","","1","65.4","142","217","","","0","62.7","74","118","67.6","69","102","27.3","6","22","69.2","137","198","","","0","53.2","33","62","69.6","110","158","","","0"
"656:102","Cleveland Elementary School","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"656:103","Sara Harp Minter Elementary School","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"656:104","Crabapple Lane Elementary School","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"656:1050","Brooks Elementary School","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"656:1052","Peachtree City Elementary School","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"656:174","Tyrone Elementary School","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"656:178","Booth Middle School","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"656:180","Huddleston Elementary School","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"656:181","North Fayette Elementary School","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"656:182","McIntosh High School","89.9","285","317","95.5","21","22","77.8","21","27","81.3","13","16","","","1","91.5","225","246","","","5","86.8","125","144","92.5","160","173","56.5","13","23","92.5","272","294","","","6","73.3","11","15","90.7","274","302","","","0"
"656:186","Oak Grove Elementary School","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"656:187","East Fayette Elementary School","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"656:191","Braelinn Elementary School","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
